time,algae,rotifers,egg_ratio,eggs,dead_animals,external_medium,cycle_id
20.04,0.28,84.28,0.14,11.64,4.21,160.0,C7
20.96,0.24,71.44,0.03,2.01,4.21,160.0,C7
21.98,0.24,47.36,0.15,7.22,7.63,160.0,C7
23.09,0.22,34.31,0.18,6.02,5.62,160.0,C7
24.02,0.26,17.66,0.41,7.22,3.01,160.0,C7
24.99,0.36,11.64,0.29,3.41,1.61,160.0,C7
26.03,0.67,11.84,0.8,9.43,4.01,160.0,C7
26.98,0.54,32.91,0.46,15.25,1.61,160.0,C7
27.93,0.35,42.14,0.65,27.49,2.41,160.0,C7
28.96,0.17,57.99,0.09,5.22,1.61,160.0,C7
30.25,0.17,33.91,0.02,0.8,4.21,160.0,C7
31.1,0.31,13.65,0.07,1.0,1.61,160.0,C7
31.92,0.61,11.24,0.55,6.22,1.0,160.0,C7
32.93,0.68,18.46,0.18,3.41,0.4,160.0,C7
34.03,0.42,34.31,0.46,15.65,2.81,160.0,C7
34.95,0.41,52.37,0.16,8.43,1.81,160.0,C7
35.92,0.2,40.74,0.13,5.22,2.61,160.0,C7
37.14,0.26,27.29,0.06,1.61,2.81,160.0,C7
37.85,0.36,8.23,0.8,6.62,2.21,160.0,C7
38.97,0.66,15.65,0.35,5.42,3.21,160.0,C7
39.93,1.27,22.48,0.65,14.65,2.81,160.0,C7
40.94,0.85,46.15,0.67,30.7,1.0,160.0,C7
41.92,0.52,88.5,0.46,40.94,2.81,160.0,C7
42.98,0.11,67.63,0.06,4.21,4.62,160.0,C7
44.02,0.26,29.9,0.05,1.4,17.66,160.0,C7
45.02,0.35,7.42,0.11,0.8,4.21,160.0,C7
45.98,1.33,3.61,0.28,1.0,2.41,160.0,C7
47.01,2.2,9.63,0.81,7.83,0.6,160.0,C7
47.94,1.92,27.89,0.6,16.66,0.8,160.0,C7
48.92,1.11,57.79,0.57,32.71,3.01,160.0,C7
49.98,0.33,90.3,0.17,15.25,2.81,160.0,C7
50.99,0.14,49.77,0.15,7.42,4.01,160.0,C7
51.87,0.18,30.1,0.05,1.61,4.01,160.0,C7
52.93,0.98,11.44,0.82,9.43,5.02,160.0,C7
53.97,1.93,22.68,0.5,11.24,4.41,160.0,C7
54.92,2.26,32.91,0.15,4.82,4.62,160.0,C7
55.94,2.78,39.33,1.12,43.95,3.21,160.0,C7
56.96,3.02,58.19,0.25,14.65,7.22,160.0,C7
58.13,1.62,45.75,0.04,1.61,5.02,160.0,C7
58.84,1.51,22.27,0.11,2.41,7.83,160.0,C7
59.95,2.1,7.42,0.05,0.4,5.02,160.0,C7
61.03,8.2,8.43,0.76,6.42,2.81,160.0,C7
61.97,8.26,13.65,0.41,5.62,0.8,160.0,C7
62.97,7.5,25.28,0.43,10.84,0.4,160.0,C7
63.97,3.32,66.62,0.33,22.07,3.61,160.0,C7
64.95,1.74,84.88,0.16,13.65,2.81,160.0,C7
66.0,1.7,53.58,0.07,4.01,2.01,160.0,C7
66.9,1.88,24.48,0.14,3.41,2.61,160.0,C7
67.94,5.95,14.65,0.33,4.82,5.42,160.0,C7
68.97,4.24,36.92,0.37,13.65,0.6,160.0,C7
69.98,3.7,68.63,0.49,33.71,2.01,160.0,C7
70.95,2.02,86.09,0.14,11.64,4.41,160.0,C7
72.18,3.26,36.32,0.03,1.2,9.43,160.0,C7
73.18,2.94,16.86,0.2,3.41,3.61,160.0,C7
73.93,3.07,6.62,0.39,2.61,1.61,160.0,C7
74.94,3.43,12.24,0.21,2.61,2.01,160.0,C7
75.97,2.39,22.68,0.45,10.23,2.21,160.0,C7
77.06,4.03,35.72,0.82,29.3,2.41,160.0,C7
78.01,2.21,88.5,0.35,31.3,4.01,160.0,C7
78.96,3.82,82.68,0.05,4.01,3.41,160.0,C7
80.05,2.71,21.87,0.03,0.6,4.21,160.0,C7
80.95,1.92,11.04,0.22,2.41,10.03,160.0,C7
81.92,2.42,7.02,0.71,5.02,4.82,160.0,C7
82.97,2.95,19.87,0.61,12.04,4.21,160.0,C7
84.06,5.42,56.19,0.6,33.51,2.61,160.0,C7
84.93,2.89,107.96,0.18,19.87,4.01,160.0,C7
85.97,2.95,52.98,0.09,4.82,13.85,160.0,C7
87.25,1.97,23.28,0.07,1.61,10.23,160.0,C7
87.92,1.55,7.02,0.91,6.42,5.42,160.0,C7
88.96,5.65,5.42,0.33,1.81,1.4,160.0,C7
89.97,5.74,21.07,0.43,9.03,5.02,160.0,C7
90.9,3.78,57.39,0.66,37.93,0.8,160.0,C7
91.97,4.68,153.31,0.19,28.5,3.01,160.0,C7
93.05,4.71,59.8,0.01,0.8,19.26,160.0,C7
94.01,6.75,24.88,0.0,0.0,11.64,160.0,C7
94.93,5.21,7.83,0.0,0.0,3.01,160.0,C7
96.01,3.89,9.63,0.81,7.83,3.01,160.0,C7
96.95,5.77,21.67,0.72,15.65,2.01,160.0,C7
97.91,4.97,70.03,0.36,25.08,3.01,160.0,C7
98.98,1.55,113.78,0.09,10.03,1.61,160.0,C7
100.09,2.56,41.14,0.06,2.41,8.83,160.0,C7
101.11,2.21,7.63,0.03,0.2,3.01,160.0,C7
101.9,1.68,6.02,0.67,4.01,0.8,160.0,C7
102.92,6.67,5.82,0.97,5.62,0.4,160.0,C7
103.9,6.71,19.47,0.82,16.05,1.0,160.0,C7
104.89,4.21,56.19,1.02,57.39,2.01,160.0,C7
105.92,3.29,131.44,0.06,8.23,3.01,160.0,C7
106.97,0.24,108.16,0.04,4.21,12.64,160.0,C7
108.06,0.5,19.67,0.03,0.6,24.08,160.0,C7
108.9,0.72,5.82,0.45,2.61,3.81,160.0,C7
109.91,2.32,9.03,0.29,2.61,2.41,160.0,C7
110.93,3.58,18.26,0.51,9.23,1.0,160.0,C7
111.92,2.8,31.1,0.55,17.06,1.61,160.0,C7
112.97,0.84,71.04,0.75,53.38,2.01,160.0,C7
113.96,0.24,104.15,0.07,7.63,11.04,160.0,C7
115.05,0.15,31.1,0.03,0.8,3.01,160.0,C7
115.9,0.22,7.63,0.13,1.0,6.42,160.0,C7
116.91,0.91,4.41,0.14,0.6,1.0,160.0,C7
117.96,5.08,2.61,0.62,1.61,1.61,160.0,C7
118.94,7.46,5.22,0.81,4.21,1.0,160.0,C7
120.04,8.13,10.23,0.43,4.41,0.6,160.0,C7
121.35,5.98,23.28,0.4,9.23,1.0,160.0,C7
122.39,4.53,39.13,0.56,22.07,2.01,160.0,C7
122.92,3.87,57.99,0.53,30.5,2.01,160.0,C7
123.92,1.95,70.03,0.4,27.89,3.01,160.0,C7
124.95,1.26,92.51,0.07,6.42,2.01,160.0,C7
125.96,0.62,46.96,0.15,7.02,3.61,160.0,C7
126.92,1.54,29.1,0.21,6.22,4.82,160.0,C7
128.14,1.13,21.87,0.16,3.41,3.41,160.0,C7
129.01,1.12,32.51,0.43,13.85,1.81,160.0,C7
